Código;Nombre
1;Paseo de Recolectos
2;Glta. De Carlos V
3;Pza. del Carmen
35;Pza. del Carmen
4;Pza. de España
5;Barrio del Pilar
39;Barrio del Pilar
6;Pza. Dr. Marañón
7;Pza. M. de Salamanca
8;Escuelas Aguirre
9;Pza. Luca de Tena
10;Cuatro Caminos
38;Cuatro Caminos
11;Av. Ramón y Cajal
12;Pza. Manuel Becerra
13;Vallecas
40;Vallecas
14;Pza. Fdez. Ladreda
15;Pza. Castilla
16;Arturo Soria
17;Villaverde Alto
18;C/ Farolillo
19;Huerta Castañeda
20;Mortalaz
36;Mortalaz
21;Pza. Cristo Rey
22;Paseo Pontones
23;Final C/ Alcalá
24;Casa de Campo
25;Santa Eugenia
26;Urb. Embajada (Barajas)
27;Barajas
47;Méndez Álvaro
48;Paseo Castellana
49;Retiro
50;Pza. Castilla
54;Ensanche de Vallecas
55;Urb. Embajada (Barajas)
56;Plaza Elíptica
57;Sanchinarro
58;El Pardo
59;Parque Juan Carlos I
86;Tres Olivos
60;Tres Olivos
