PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2023;10;29;1;V;1;V;2;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;0;N;0;N;0;N;0;N
28;079;4;6;28079004_6_48;2023;10;29;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0;N;0;N;0;N;0;N
28;079;4;7;28079004_7_8;2023;10;29;6;V;4;V;2;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;3;V;2;V;3;V;2;V;3;V;0;N;0;N;0;N;0;N
28;079;4;8;28079004_8_8;2023;10;29;23;V;12;V;9;V;4;V;3;V;2;V;6;V;6;V;11;V;12;V;11;V;8;V;10;V;9;V;12;V;11;V;10;V;21;V;16;V;19;V;0;N;0;N;0;N;0;N
28;079;4;12;28079004_12_8;2023;10;29;32;V;18;V;12;V;6;V;5;V;4;V;8;V;8;V;13;V;15;V;14;V;11;V;13;V;14;V;16;V;15;V;13;V;25;V;19;V;24;V;0;N;0;N;0;N;0;N
28;079;8;1;28079008_1_38;2023;10;29;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;3;V;4;V;4;V;4;V;4;V;0;N;0;N;0;N;0;N
28;079;8;6;28079008_6_48;2023;10;29;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0;N;0;N;0;N;0;N
28;079;8;7;28079008_7_8;2023;10;29;5;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;4;V;6;V;4;V;5;V;3;V;3;V;3;V;3;V;4;V;0;N;0;N;0;N;0;N
28;079;8;8;28079008_8_8;2023;10;29;25;V;14;V;14;V;7;V;6;V;6;V;7;V;9;V;11;V;14;V;11;V;15;V;19;V;15;V;21;V;14;V;14;V;18;V;18;V;26;V;0;N;0;N;0;N;0;N
28;079;8;9;28079008_9_47;2023;10;29;2;V;1;V;4;V;1;V;4;V;1;V;2;V;5;V;2;V;1;V;3;V;3;V;3;V;2;V;2;V;2;V;1;V;2;V;3;V;2;V;0;N;0;N;0;N;0;N
28;079;8;10;28079008_10_47;2023;10;29;6;V;3;V;8;V;6;V;8;V;3;V;4;V;8;V;7;V;4;V;8;V;10;V;10;V;10;V;10;V;7;V;4;V;6;V;9;V;7;V;0;N;0;N;0;N;0;N
28;079;8;12;28079008_12_8;2023;10;29;32;V;18;V;16;V;9;V;8;V;7;V;9;V;10;V;13;V;17;V;15;V;21;V;28;V;21;V;29;V;19;V;18;V;22;V;24;V;32;V;0;N;0;N;0;N;0;N
28;079;8;14;28079008_14_6;2023;10;29;48;V;54;V;49;V;65;V;68;V;66;V;64;V;65;V;60;V;55;V;63;V;65;V;63;V;68;V;62;V;67;V;66;V;59;V;58;V;49;V;0;N;0;N;0;N;0;N
28;079;8;20;28079008_20_59;2023;10;29;0.6;V;0.4;V;0.3;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.3;V;0.3;V;0.4;V;0.6;V;0.4;V;0.4;V;0.5;V;0.3;V;0.3;V;0.2;V;0.3;V;0;N;0;N;0;N;0;N
28;079;8;30;28079008_30_59;2023;10;29;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0;N;0;N;0;N;0;N
28;079;8;35;28079008_35_59;2023;10;29;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0;N;0;N;0;N;0;N
28;079;11;7;28079011_7_8;2023;10;29;2;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;2;V;5;V;6;V;6;V;2;V;3;V;3;V;5;V;3;V;5;V;8;V;8;V;0;N;0;N;0;N;0;N
28;079;11;8;28079011_8_8;2023;10;29;15;V;11;V;15;V;6;V;4;V;6;V;7;V;11;V;16;V;26;V;26;V;22;V;15;V;14;V;18;V;20;V;18;V;31;V;34;V;34;V;0;N;0;N;0;N;0;N
28;079;11;12;28079011_12_8;2023;10;29;19;V;13;V;17;V;7;V;6;V;8;V;9;V;13;V;19;V;34;V;35;V;31;V;18;V;19;V;22;V;27;V;23;V;39;V;45;V;46;V;0;N;0;N;0;N;0;N
28;079;11;20;28079011_20_59;2023;10;29;0.7;V;0.5;V;0.6;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.5;V;0.8;V;7;V;1;V;0.7;V;0.6;V;1.1;V;0.6;V;0.9;V;1;V;1;V;0;N;0;N;0;N;0;N
