num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2023S000057;02/01/2023;7:50:00;CALL. GOYA / CALL. LOMBIA;86;4;SALAMANCA;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;De 55 a 59 años;Hombre;NULL;NULL;442.943.680;4.475.109.106;N;NULL
2023S000123;03/01/2023;13:20:00;AVDA. ENTREVIAS, 100;100;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 55 a 59 años;Hombre;1;Atención en urgencias sin posterior ingreso;443.717.786;4.469.886.737;N;NULL
2023S000136;03/01/2023;15:45:00;PASEO. CASTELLANA / MIGUEL AN;51;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;3;Ingreso superior a 24 horas;441.406.026;4.476.550.072;N;NULL
2023S000163;03/01/2023;22:26:00;PASEO. SANTA MARIA DE LA CABEZA / PALOS DE LA FRONTERA;39;2;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;De 21 a 24 años;Mujer;NULL;NULL;440.825.321;4.472.731.828;N;NULL
2023S000181;04/01/2023;11:05:00;CALL. IBIZA, 39;39;3;RETIRO;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;442.860.171;4.474.395.995;N;NULL
2023S000184;04/01/2023;11:40:00;CALL. SANTA ENGRACIA / MANUEL CO;27;7;CHAMBERÍ;Colisión fronto-lateral;NULL;Bicicleta;Conductor;De 35 a 39 años;Mujer;NULL;NULL;440.878.387;4.475.815.277;N;NULL
2023S000228;04/01/2023;20:30:00;CALL. GENERAL RICARDOS / SAN PATRICI;1;11;CARABANCHEL;Colisión frontal;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;438.402.856;4.471.546.926;N;NULL
2023S000281;05/01/2023;17:20:00;CALL. MAYOR / TRVA. BRINGAS;1;1;CENTRO;Alcance;Despejado;Bicicleta;Conductor;De 55 a 59 años;Mujer;NULL;NULL;439.860.883;4.474.154.133;N;NULL
2023S000332;06/01/2023;11:07:00;CALL. OLIVAR / CALL. SAN CARLOS;25;1;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;1;Atención en urgencias sin posterior ingreso;440.470.211;4.473.544.699;N;NULL
2023S000401;06/01/2023;11:25:00;CALL. FERNANDO PESSOA, 5;5;15;CIUDAD LINEAL;Alcance;Nublado;Bicicleta;Conductor;De 30 a 34 años;Hombre;NULL;NULL;444.596.048;4.476.837.751;N;NULL
2023S000537;08/01/2023;20:14:00;AVDA. MANZANARES, 210;210;12;USERA;Atropello a persona;Lluvia débil;Bicicleta;Conductor;De 18 a 20 años;Hombre;NULL;NULL;440.542.114;4.471.411.503;N;NULL
2023S000537;08/01/2023;20:14:00;AVDA. MANZANARES, 210;210;12;USERA;Atropello a persona;Lluvia débil;Bicicleta;Peatón;De 25 a 29 años;Mujer;NULL;NULL;440.542.114;4.471.411.503;N;NULL
2023S000557;08/01/2023;20:23:00;CALL. ALCALA, 321;321;15;CIUDAD LINEAL;Alcance;Lluvia débil;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;444.812.993;4.475.993.670;N;NULL
2023S000570;09/01/2023;12:50:00;PASEO. YESERIAS, 33;33;2;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Conductor;De 65 a 69 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439.913.780;4.472.188.793;N;NULL
2023S000570;09/01/2023;12:50:00;PASEO. YESERIAS, 33;33;2;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Peatón;De 45 a 49 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439.913.780;4.472.188.793;N;NULL
2023S000572;09/01/2023;13:15:00;CALL. MALMOE / CALLE HERMANOS GARCIA NOBLEJAS;83;15;CIUDAD LINEAL;Colisión frontal;Despejado;Bicicleta;Conductor;De 60 a 64 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;447.258.619;4.473.974.478;N;NULL
2023S000578;09/01/2023;15:15:00;AVDA. MENENDEZ PELAYO, 89;89;3;RETIRO;Alcance;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;442.467.304;4.473.323.459;N;NULL
2023S000650;10/01/2023;9:55:00;CALL. O'DONNELL, 44;44;3;RETIRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;442.870.237;4.474.739.968;N;NULL
2023S000766;12/01/2023;7:05:00;AVDA. HELLIN / CALL. HINOJAL;7;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;NULL;Bicicleta;Conductor;De 35 a 39 años;Hombre;NULL;NULL;447.754.195;4.475.843.355;N;NULL
2023S001088;15/01/2023;10:20:00;AVDA. MANZANARES, 60;60;11;CARABANCHEL;Atropello a persona;Nublado;Bicicleta;Conductor;De 21 a 24 años;Mujer;14;Sin asistencia sanitaria;438.674.336;4.472.660.565;N;NULL
